# Table name/description: "Top8000 Tyr and Phe"
# Number of dimensions: 2
# For each dimension, 1 to 2: lower_bound  upper_bound  number_of_bins  wrapping
#   x1: 0.0 360.0 180 true
#   x2: 0.0 180.0 90 true
# List of table coordinates and values. (Value is last number on each line.)
1.0 55.0 1.9285659183830902E-5
1.0 57.0 1.9285659183830902E-5
1.0 59.0 1.9285659183830902E-5
1.0 61.0 1.9285659183830902E-5
1.0 63.0 1.9285659183830902E-5
1.0 65.0 2.8928488775746356E-5
1.0 67.0 2.8928488775746356E-5
1.0 69.0 2.8928488775746356E-5
1.0 71.0 2.8928488775746356E-5
1.0 73.0 2.8928488775746356E-5
1.0 75.0 2.8928488775746356E-5
1.0 77.0 3.8571318367661804E-5
1.0 79.0 2.8928488775746356E-5
1.0 81.0 2.8928488775746356E-5
1.0 83.0 2.8928488775746356E-5
1.0 85.0 2.8928488775746356E-5
1.0 87.0 2.8928488775746356E-5
1.0 89.0 1.9285659183830902E-5
1.0 91.0 1.9285659183830902E-5
1.0 93.0 1.9285659183830902E-5
1.0 95.0 1.9285659183830902E-5
1.0 97.0 1.9285659183830902E-5
1.0 99.0 1.9285659183830902E-5
3.0 51.0 1.9285659183830902E-5
3.0 53.0 1.9285659183830902E-5
3.0 55.0 1.9285659183830902E-5
3.0 57.0 1.9285659183830902E-5
3.0 59.0 2.8928488775746356E-5
3.0 61.0 2.8928488775746356E-5
3.0 63.0 2.8928488775746356E-5
3.0 65.0 3.8571318367661804E-5
3.0 67.0 3.8571318367661804E-5
3.0 69.0 3.8571318367661804E-5
3.0 71.0 3.8571318367661804E-5
3.0 73.0 3.8571318367661804E-5
3.0 75.0 3.8571318367661804E-5
3.0 77.0 3.8571318367661804E-5
3.0 79.0 3.8571318367661804E-5
3.0 81.0 3.8571318367661804E-5
3.0 83.0 3.8571318367661804E-5
3.0 85.0 2.8928488775746356E-5
3.0 87.0 2.8928488775746356E-5
3.0 89.0 2.8928488775746356E-5
3.0 91.0 1.9285659183830902E-5
3.0 93.0 1.9285659183830902E-5
3.0 95.0 1.9285659183830902E-5
3.0 97.0 1.9285659183830902E-5
3.0 99.0 9.642829591915451E-6
5.0 49.0 1.9285659183830902E-5
5.0 51.0 1.9285659183830902E-5
5.0 53.0 1.9285659183830902E-5
5.0 55.0 2.8928488775746356E-5
5.0 57.0 2.8928488775746356E-5
5.0 59.0 3.8571318367661804E-5
5.0 61.0 3.8571318367661804E-5
5.0 63.0 3.8571318367661804E-5
5.0 65.0 3.8571318367661804E-5
5.0 67.0 3.8571318367661804E-5
5.0 69.0 3.8571318367661804E-5
5.0 71.0 3.8571318367661804E-5
5.0 73.0 3.8571318367661804E-5
5.0 75.0 3.8571318367661804E-5
5.0 77.0 3.8571318367661804E-5
5.0 79.0 3.8571318367661804E-5
5.0 81.0 3.8571318367661804E-5
5.0 83.0 3.8571318367661804E-5
5.0 85.0 3.8571318367661804E-5
5.0 87.0 3.8571318367661804E-5
5.0 89.0 2.8928488775746356E-5
5.0 91.0 1.9285659183830902E-5
5.0 93.0 1.9285659183830902E-5
5.0 95.0 1.9285659183830902E-5
5.0 97.0 1.9285659183830902E-5
5.0 99.0 9.642829591915451E-6
7.0 47.0 1.9285659183830902E-5
7.0 49.0 1.9285659183830902E-5
7.0 51.0 1.9285659183830902E-5
7.0 53.0 2.8928488775746356E-5
7.0 55.0 3.8571318367661804E-5
7.0 57.0 3.8571318367661804E-5
7.0 59.0 3.8571318367661804E-5
7.0 61.0 3.8571318367661804E-5
7.0 63.0 4.821414795957726E-5
7.0 65.0 5.785697755149271E-5
7.0 67.0 5.785697755149271E-5
7.0 69.0 5.785697755149271E-5
7.0 71.0 5.785697755149271E-5
7.0 73.0 5.785697755149271E-5
7.0 75.0 5.785697755149271E-5
7.0 77.0 5.785697755149271E-5
7.0 79.0 4.821414795957726E-5
7.0 81.0 4.821414795957726E-5
7.0 83.0 3.8571318367661804E-5
7.0 85.0 3.8571318367661804E-5
7.0 87.0 3.8571318367661804E-5
7.0 89.0 2.8928488775746356E-5
7.0 91.0 2.8928488775746356E-5
7.0 93.0 1.9285659183830902E-5
7.0 95.0 1.9285659183830902E-5
7.0 97.0 1.9285659183830902E-5
7.0 99.0 1.9285659183830902E-5
9.0 43.0 1.9285659183830902E-5
9.0 45.0 1.9285659183830902E-5
9.0 47.0 1.9285659183830902E-5
9.0 49.0 2.8928488775746356E-5
9.0 51.0 3.8571318367661804E-5
9.0 53.0 3.8571318367661804E-5
9.0 55.0 3.8571318367661804E-5
9.0 57.0 4.821414795957726E-5
9.0 59.0 5.785697755149271E-5
9.0 61.0 5.785697755149271E-5
9.0 63.0 7.714263673532361E-5
9.0 65.0 7.714263673532361E-5
9.0 67.0 9.642829591915452E-5
9.0 69.0 1.0607112551106997E-4
9.0 71.0 1.0607112551106997E-4
9.0 73.0 9.642829591915452E-5
9.0 75.0 8.678546632723906E-5
9.0 77.0 7.714263673532361E-5
9.0 79.0 5.785697755149271E-5
9.0 81.0 5.785697755149271E-5
9.0 83.0 4.821414795957726E-5
9.0 85.0 3.8571318367661804E-5
9.0 87.0 3.8571318367661804E-5
9.0 89.0 3.8571318367661804E-5
9.0 91.0 2.8928488775746356E-5
9.0 93.0 2.8928488775746356E-5
9.0 95.0 1.9285659183830902E-5
9.0 97.0 1.9285659183830902E-5
9.0 99.0 1.9285659183830902E-5
11.0 41.0 1.9285659183830902E-5
11.0 43.0 1.9285659183830902E-5
11.0 45.0 1.9285659183830902E-5
11.0 47.0 2.8928488775746356E-5
